review_description,gold_standard,,
"It makes no sense, what's point of this app? I have seen hundreds of better apps than this one","As a new Threads user, I want to understand the unique purpose of the app, so that I can determine if it offers more value than other social platforms.",,
"Looks very clumsy. Material design sucks. While trying to upload the media, unable to go to a specific folder in gallery app in Android. But works well in iOS. And no option to save images like Twitter. Why that specific option is not copied from Twitter?","As a Threads user on Android, I want to be able to navigate to a specific folder in my gallery when uploading, so that I can easily find and select the desired images and videos.","As a Threads user on Android, I want the app’s design to be more intuitive, so that it feels less clumsy.
",
The app is good and all but why android users can't download pics from the app? Fix it please,"As a Threads user on Android, I want to download pictures from the app, so that I can save and access them outside the app.",,
Great app. Great potential. Great additions would be a following only feed & a DM system that's integrated with messenger & instagram DMs. A better followers & following system is also needed.,"As a Threads user, I want a following-only feed, so that I can view posts exclusively from people I follow without additional content from the algorithm.","As a Threads user, I want a direct messaging system integrated with Messenger and Instagram DMs, so that I can communicate seamlessly across Meta’s platforms without switching apps.","As a Threads user, I want a better followers and following system, so that I can manage and navigate my social connections more effectively."
"I have a problem with the application, the words stick together and everything sticks together. I want a solution","As a Threads user, I want text in posts and messages to be displayed correctly without words sticking together, so that I can read content clearly.",,
Threads have more bugs than Instagram.. the list goes on n on.. hope it doesn't becomes another bloatware like ig...,"As a Threads user, I want the app to be more stable with fewer bugs, so that my experience is smooth and frustration-free.",,
"Screen scrolling speed very slow. To compare other app, Screen refresh rate very low in this app","As a Threads user, I want the scrolling speed to be faster, so that I can navigate through content smoothly.","As a Threads user, I want the screen refresh rate to be higher, so that the app feels more responsive.",
I don't understand what's it what type of app this is we can't change our user name or many more think that,"As a Threads user, I want to be able to change my username, so I can personalize my profile after account creation.",,
I accidentally linked my account to it but sadly i can't delete my threads account without deleting my instagram account. Such a trashh app,"As a Threads user, I want to be able to delete my Threads account without deleting my Instagram account, so that I can use my accounts independently.",,
"Sucky. Keeps picking up my phone. Clicking download on more devices only brings up my phone, not the tablet , I'm on that I want to download too. Have tried periodically all day.","As a Threads user, I want to be able to download and install the app on any device, so I can use it on my preffered devices without issue.",,
Been great so far! However I can't seem to reinstate hidden badges on Instagram...is there a way to toggle this function?,"As a Threads user, I want to be able to toggle hidden badges on Instagram, so that I can manage my visibility settings as needed.",,
Making IG account the only option to get on this app isn't a good move.. 👎🏾👎🏾,"As a Threads user, I want to be able to use the app without an Instagram account, so that I do not need to create an account for a service I do not use.",,
"Basic features work as expected. But it's about time we get a big update with more complex features like Edit Thread, Translate Thread, Ability to pin Threads, better Feed page, video player optimization and working hastagd. A trending page would be nice too. But current app is very good. 4/5.","As a Threads user, I want to edit my Threads after posting, so that I can correct mistakes and update content.","As a Threads user, I want to be able to automatically translate posts, so that I can understand and engage with content in different languages.","As a Threads user, I want hashtags to function properly, so that I can explore and categorize content effectively."
"is there a button or feature that let only the accounts that I follow would appear on my feed/wall/page? if not, I hope the devs can add them","As a Threads user, I want to filter my feed to show only posts from accounts I follow, so that I can see content that is relevant to me without unwanted posts.",,
This app is awesome but I want one extra feature to chat personal with any person . If the meta team are add this feature. I will greatly thankful for all team of meta.,"As a Threads user, I want to have a private chat feature, so that I can directly communicate with any person.",,
Why my Home Filled with Threads by Verified Account? I dont follow them. Please fix this.. its very disturbing.,"As a Threads user, I want to only see posts from people I follow, so that I am not disturbed by verified accounts I did not choose to follow.",,
For some reason whenever I try to post a picture threads keep stop working 🤦🏻‍♂️,"As a Threads user, I want to post a picture without the app crashing, so that I can share content without interruptions.",,
So far not a big fan. Its alright but my feed is majority people I am not following nor are of any interest to me. Until I only see people I follow on my feed I wont give it any more stars. I dont care about things that dont align with my interests.,"As a Threads user, I want to see only content from people I follow in my feed, so that my feed aligns with my interests.",,
"My account gets automatically logged out of Instagram when I sign in for threads nd vice versa, it gets logged out of threads when I use Instagram. How to fix?","As a Threads user, I want to stay logged into both Threads and Instagram when switching between them, so that I don’t have to repeadedly sign in.",,
"It's buggy, full of bugs and posting failed continuously, also app crashes on my high end processor phone.","As a Threads user, I want to use the app without crashes on my high end device, so that I can use it reliably without interruptions.",,
"They need to add a DM button, saving a picture button, also people should be able to change their Threads username withiut changing that of Instagram and the profile picture too.",,,
