,story_id,user_story,defect_type,sub_type,message
0,1,"As a student, I want to track my progress and receive a certificate upon course completion so that I can showcase my achievements and knowledge gained.",atomic,conjunctions,"As a student, I want to track my progress  and  receive a certificate upon course completion so that I can showcase my achievements and knowledge gained."
1,4,"As a student, I want to track my progress and receive a certificate upon course completion so that I can showcase my achievements and knowledge gained.",atomic,conjunctions,"As a student, I want to track my progress  and  receive a certificate upon course completion so that I can showcase my achievements and knowledge gained."
2,4,"As a student, I want to track my progress and receive a certificate upon course completion so that I can showcase my achievements and knowledge gained.",unique,identical,Remove all duplicate user stories
3,5,"As a patient, I want to book, reschedule, or cancel my medical appointments online so that I can manage my healthcare schedule conveniently.",unique,identical,Remove all duplicate user stories
4,7,"As a bank customer, I want to receive notifications for transactions and low balance alerts so that I can monitor my account activity and avoid overdrafts.",unique,identical,Remove all duplicate user stories
5,8,"As a home cook, I want to share my recipes with a community of food enthusiasts so that others can try my dishes and provide feedback.",unique,identical,Remove all duplicate user stories
6,9,"As a patient, I want to book, reschedule, or cancel my medical appointments online so that I can manage my healthcare schedule conveniently.",unique,identical,Remove all duplicate user stories
7,11,"As a bank customer, I want to receive notifications for transactions and low balance alerts so that I can monitor my account activity and avoid overdrafts.",unique,identical,Remove all duplicate user stories
8,12,"As a bank customer, I want to receive notifications for transactions and low balance alerts so that I can monitor my account activity and avoid overdrafts.",unique,identical,Remove all duplicate user stories
9,13,"As a patient, I want to book, reschedule, or cancel my medical appointments online so that I can manage my healthcare schedule conveniently.",unique,identical,Remove all duplicate user stories
10,14,"As a fitness enthusiast, I want my fitness tracker data to sync automatically with my health app so that I can track my workouts and progress in one place.",unique,identical,Remove all duplicate user stories
11,16,"As a home cook, I want to share my recipes with a community of food enthusiasts so that others can try my dishes and provide feedback.",unique,identical,Remove all duplicate user stories
12,17,"As a patient, I want to book, reschedule, or cancel my medical appointments online so that I can manage my healthcare schedule conveniently.",unique,identical,Remove all duplicate user stories
13,19,"As a student, I want to track my progress and receive a certificate upon course completion so that I can showcase my achievements and knowledge gained.",atomic,conjunctions,"As a student, I want to track my progress  and  receive a certificate upon course completion so that I can showcase my achievements and knowledge gained."
14,19,"As a student, I want to track my progress and receive a certificate upon course completion so that I can showcase my achievements and knowledge gained.",unique,identical,Remove all duplicate user stories
15,20,"As a team member, I want to assign tasks, set deadlines, and track progress in a shared workspace so that our team can collaborate effectively and meet project goals.",unique,identical,Remove all duplicate user stories
16,21,"As a team member, I want to assign tasks, set deadlines, and track progress in a shared workspace so that our team can collaborate effectively and meet project goals.",unique,identical,Remove all duplicate user stories
17,22,"As a movie lover, I want to create and manage a watchlist and receive recommendations so that I can easily find and enjoy new content that matches my interests.",unique,identical,Remove all duplicate user stories
18,23,"As a team member, I want to assign tasks, set deadlines, and track progress in a shared workspace so that our team can collaborate effectively and meet project goals.",unique,identical,Remove all duplicate user stories
19,24,"As a bank customer, I want to receive notifications for transactions and low balance alerts so that I can monitor my account activity and avoid overdrafts.",unique,identical,Remove all duplicate user stories
20,25,"As a fitness enthusiast, I want my fitness tracker data to sync automatically with my health app so that I can track my workouts and progress in one place.",unique,identical,Remove all duplicate user stories
21,26,"As a patient, I want to book, reschedule, or cancel my medical appointments online so that I can manage my healthcare schedule conveniently.",unique,identical,Remove all duplicate user stories
22,29,"As a fitness enthusiast, I want my fitness tracker data to sync automatically with my health app so that I can track my workouts and progress in one place.",unique,identical,Remove all duplicate user stories
23,30,"As a home cook, I want to share my recipes with a community of food enthusiasts so that others can try my dishes and provide feedback.",unique,identical,Remove all duplicate user stories
24,31,"As a customer, I want to filter products by price range, brand, and customer ratings so that I can find the products that best match my preferences and budget.",unique,identical,Remove all duplicate user stories
25,32,"As a team member, I want to assign tasks, set deadlines, and track progress in a shared workspace so that our team can collaborate effectively and meet project goals.",unique,identical,Remove all duplicate user stories
26,33,"As a customer, I want to filter products by price range, brand, and customer ratings so that I can find the products that best match my preferences and budget.",unique,identical,Remove all duplicate user stories
27,34,"As a fitness enthusiast, I want my fitness tracker data to sync automatically with my health app so that I can track my workouts and progress in one place.",unique,identical,Remove all duplicate user stories
28,35,"As a customer, I want to filter products by price range, brand, and customer ratings so that I can find the products that best match my preferences and budget.",unique,identical,Remove all duplicate user stories
29,36,"As a social media user, I want to update my profile picture and bio so that my profile accurately reflects my current appearance and interests.",unique,identical,Remove all duplicate user stories
30,37,"As a patient, I want to book, reschedule, or cancel my medical appointments online so that I can manage my healthcare schedule conveniently.",unique,identical,Remove all duplicate user stories
31,38,"As an event organizer, I want to create and manage events, send invitations, and track RSVPs so that I can ensure the event runs smoothly and attendees are informed.",atomic,conjunctions,"As an event organizer, I want to create  and  manage events, send invitations, and track RSVPs so that I can ensure the event runs smoothly and attendees are informed."
32,39,"As a fitness enthusiast, I want my fitness tracker data to sync automatically with my health app so that I can track my workouts and progress in one place.",unique,identical,Remove all duplicate user stories
33,40,"As a customer, I want to filter products by price range, brand, and customer ratings so that I can find the products that best match my preferences and budget.",unique,identical,Remove all duplicate user stories
34,41,"As an event organizer, I want to create and manage events, send invitations, and track RSVPs so that I can ensure the event runs smoothly and attendees are informed.",atomic,conjunctions,"As an event organizer, I want to create  and  manage events, send invitations, and track RSVPs so that I can ensure the event runs smoothly and attendees are informed."
35,41,"As an event organizer, I want to create and manage events, send invitations, and track RSVPs so that I can ensure the event runs smoothly and attendees are informed.",unique,identical,Remove all duplicate user stories
36,42,"As a bank customer, I want to receive notifications for transactions and low balance alerts so that I can monitor my account activity and avoid overdrafts.",unique,identical,Remove all duplicate user stories
37,43,"As a movie lover, I want to create and manage a watchlist and receive recommendations so that I can easily find and enjoy new content that matches my interests.",unique,identical,Remove all duplicate user stories
38,44,"As a team member, I want to assign tasks, set deadlines, and track progress in a shared workspace so that our team can collaborate effectively and meet project goals.",unique,identical,Remove all duplicate user stories
39,45,"As a fitness enthusiast, I want my fitness tracker data to sync automatically with my health app so that I can track my workouts and progress in one place.",unique,identical,Remove all duplicate user stories
40,46,"As a bank customer, I want to receive notifications for transactions and low balance alerts so that I can monitor my account activity and avoid overdrafts.",unique,identical,Remove all duplicate user stories
41,47,"As a fitness enthusiast, I want my fitness tracker data to sync automatically with my health app so that I can track my workouts and progress in one place.",unique,identical,Remove all duplicate user stories
42,48,"As a customer, I want to filter products by price range, brand, and customer ratings so that I can find the products that best match my preferences and budget.",unique,identical,Remove all duplicate user stories
43,49,"As an event organizer, I want to create and manage events, send invitations, and track RSVPs so that I can ensure the event runs smoothly and attendees are informed.",atomic,conjunctions,"As an event organizer, I want to create  and  manage events, send invitations, and track RSVPs so that I can ensure the event runs smoothly and attendees are informed."
44,49,"As an event organizer, I want to create and manage events, send invitations, and track RSVPs so that I can ensure the event runs smoothly and attendees are informed.",unique,identical,Remove all duplicate user stories
45,50,"As a fitness enthusiast, I want my fitness tracker data to sync automatically with my health app so that I can track my workouts and progress in one place.",unique,identical,Remove all duplicate user stories
46,51,"As a home cook, I want to share my recipes with a community of food enthusiasts so that others can try my dishes and provide feedback.",unique,identical,Remove all duplicate user stories
47,52,"As a social media user, I want to update my profile picture and bio so that my profile accurately reflects my current appearance and interests.",unique,identical,Remove all duplicate user stories
48,53,"As a social media user, I want to update my profile picture and bio so that my profile accurately reflects my current appearance and interests.",unique,identical,Remove all duplicate user stories
49,54,"As a team member, I want to assign tasks, set deadlines, and track progress in a shared workspace so that our team can collaborate effectively and meet project goals.",unique,identical,Remove all duplicate user stories
50,55,"As a customer, I want to filter products by price range, brand, and customer ratings so that I can find the products that best match my preferences and budget.",unique,identical,Remove all duplicate user stories
51,56,"As a team member, I want to assign tasks, set deadlines, and track progress in a shared workspace so that our team can collaborate effectively and meet project goals.",unique,identical,Remove all duplicate user stories
52,57,"As a home cook, I want to share my recipes with a community of food enthusiasts so that others can try my dishes and provide feedback.",unique,identical,Remove all duplicate user stories
53,58,"As a fitness enthusiast, I want my fitness tracker data to sync automatically with my health app so that I can track my workouts and progress in one place.",unique,identical,Remove all duplicate user stories
54,59,"As a social media user, I want to update my profile picture and bio so that my profile accurately reflects my current appearance and interests.",unique,identical,Remove all duplicate user stories
55,60,"As a customer, I want to filter products by price range, brand, and customer ratings so that I can find the products that best match my preferences and budget.",unique,identical,Remove all duplicate user stories
56,61,"As a patient, I want to book, reschedule, or cancel my medical appointments online so that I can manage my healthcare schedule conveniently.",unique,identical,Remove all duplicate user stories
57,62,"As a patient, I want to book, reschedule, or cancel my medical appointments online so that I can manage my healthcare schedule conveniently.",unique,identical,Remove all duplicate user stories
58,63,"As a patient, I want to book, reschedule, or cancel my medical appointments online so that I can manage my healthcare schedule conveniently.",unique,identical,Remove all duplicate user stories
59,64,"As a customer, I want to filter products by price range, brand, and customer ratings so that I can find the products that best match my preferences and budget.",unique,identical,Remove all duplicate user stories
60,65,"As a team member, I want to assign tasks, set deadlines, and track progress in a shared workspace so that our team can collaborate effectively and meet project goals.",unique,identical,Remove all duplicate user stories
61,66,"As a social media user, I want to update my profile picture and bio so that my profile accurately reflects my current appearance and interests.",unique,identical,Remove all duplicate user stories
62,67,"As a customer, I want to filter products by price range, brand, and customer ratings so that I can find the products that best match my preferences and budget.",unique,identical,Remove all duplicate user stories
63,68,"As a home cook, I want to share my recipes with a community of food enthusiasts so that others can try my dishes and provide feedback.",unique,identical,Remove all duplicate user stories
64,69,"As a patient, I want to book, reschedule, or cancel my medical appointments online so that I can manage my healthcare schedule conveniently.",unique,identical,Remove all duplicate user stories
65,70,"As a social media user, I want to update my profile picture and bio so that my profile accurately reflects my current appearance and interests.",unique,identical,Remove all duplicate user stories
66,71,"As a movie lover, I want to create and manage a watchlist and receive recommendations so that I can easily find and enjoy new content that matches my interests.",unique,identical,Remove all duplicate user stories
