model,prompt_level,story_id,user_story,defect_count,defects
ministral,1,1,"As a user, I want to the app to handle screen touches accurately and consistently so that I can interact with it without interruptions or overlaps.",0,[]
ministral,1,2,"As a user, I want to easily connect with friends and family using threads so that I can stay in touch with them conveniently.",1,"[{'defect_type': 'atomic', 'sub_type': 'conjunctions', 'message': 'As a user, I want to easily connect with friends [* and *] family using threads so that I can stay in touch with them conveniently.'}]"
ministral,1,3,"As a user, I want to be able to unlink my Threads account from Instagram after logging in once, so that I can manage my accounts separately without any issues.",0,[]
ministral,1,4,"As a user, I want to see posts from people I follow in the Threads feed, so that I can easily keep up with their updates without seeing posts from people I do not follow.",0,[]
ministral,1,5,"As a user, I want to be assured that my data is secure and protected, so that I can use the app without worrying about privacy concerns.",1,"[{'defect_type': 'atomic', 'sub_type': 'conjunctions', 'message': 'As a user, I want to be assured that my data is secure [* and *] protected, so that I can use the app without worrying about privacy concerns.'}]"
ministral,1,6,"As a user, I want to be able to use the app without being connected to Instagram, so that I can maintain my privacy and avoid unwanted integration with Instagram features.",0,[]
ministral,1,7,"As a user, I want to see only the accounts I follow in my feed, so that I can easily scroll through content without being overwhelmed by other accounts.",0,[]
ministral,1,8,"As a user, I want to view the posts Ive liked so that I can easily find and re-engage with them.",0,[]
ministral,1,9,"As a user, I want to be able to delete my Instagram account without having to delete my entire account, so that I can manage my personal data more effectively.",0,[]
ministral,1,10,"As a user, I want to understand why the app collects sensitive data such as Health and Fitness and Financial info, so that I can make an informed decision about using the app.",0,[]
ministral,1,11,"As a user, I want to be able to use the app on my Android phone without encountering text glitching or bugs when I touch the screen.",1,"[{'defect_type': 'atomic', 'sub_type': 'conjunctions', 'message': 'As a user, I want to be able to use the app on my Android phone without encountering text glitching [* or *] bugs when I touch the screen.'}]"
ministral,1,12,"As a user, I want to the app to have a more user-friendly interface after a few updates so that I can navigate and use it more easily.",0,[]
ministral,1,13,"As a user, I want to be able to unfollow brands easily so that I can see only the content I am interested in.",0,[]
ministral,1,14,"As a user, I want to be able to save pictures to my device so that I can keep them for later use.",0,[]
